name,hp,attack,defense,sp_attack,sp_defense,speed,types,all_moves,image_url,game_source,is_mega,national_dex_hint,pokeapi_id
Venusaur,80,82,83,100,100,80,"['grass', 'poison']","['Swords Dance', 'Cut', 'Bind', 'Vine Whip', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Growl', 'Roar', 'Hyper Beam', 'Strength', 'Mega Drain', 'Leech Seed', 'Growth', 'Razor Leaf', 'Solar Beam', 'Poison Powder', 'Sleep Powder', 'Petal Dance', 'String Shot', 'Earthquake', 'Toxic', 'Rage', 'Mimic', 'Double Team', 'Defense Curl', 'Light Screen', 'Reflect', 'Bide', 'Amnesia', 'Flash', 'Rest', 'Substitute', 'Snore', 'Curse', 'Protect', 'Scary Face', 'Sludge Bomb', 'Mud Slap', 'Outrage', 'Giga Drain', 'Endure', 'Charm', 'False Swipe', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Safeguard', 'Sweet Scent', 'Synthesis', 'Hidden Power', 'Sunny Day', 'Rock Smash', 'Facade', 'Nature Power', 'Helping Hand', 'Ingrain', 'Knock Off', 'Secret Power', 'Weather Ball', 'Bullet Seed', 'Block', 'Frenzy Plant', 'Magical Leaf', 'Natural Gift', 'Worry Seed', 'Poison Jab', 'Seed Bomb', 'Energy Ball', 'Earth Power', 'Giga Impact', 'Rock Climb', 'Leaf Storm', 'Power Whip', 'Captivate', 'Grass Knot', 'Venoshock', 'Acid Spray', 'Round', 'Echoed Voice', 'Grass Pledge', 'Bulldoze', 'Work Up', 'Petal Blizzard', 'Grassy Terrain', 'Confide', 'Stomping Tantrum', 'Grassy Glide', 'Terrain Pulse', 'Tera Blast', 'Trailblaze']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,"Champions,Legends Z-A",False,,3
Mega Venusaur,80,100,123,122,120,80,"['grass', 'poison']","['Swords Dance', 'Cut', 'Bind', 'Vine Whip', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Growl', 'Roar', 'Hyper Beam', 'Strength', 'Mega Drain', 'Leech Seed', 'Growth', 'Razor Leaf', 'Solar Beam', 'Poison Powder', 'Sleep Powder', 'Petal Dance', 'String Shot', 'Earthquake', 'Toxic', 'Rage', 'Mimic', 'Double Team', 'Defense Curl', 'Light Screen', 'Reflect', 'Bide', 'Amnesia', 'Flash', 'Rest', 'Substitute', 'Snore', 'Curse', 'Protect', 'Scary Face', 'Sludge Bomb', 'Mud Slap', 'Outrage', 'Giga Drain', 'Endure', 'Charm', 'False Swipe', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Safeguard', 'Sweet Scent', 'Synthesis', 'Hidden Power', 'Sunny Day', 'Rock Smash', 'Facade', 'Nature Power', 'Helping Hand', 'Ingrain', 'Knock Off', 'Secret Power', 'Weather Ball', 'Bullet Seed', 'Block', 'Frenzy Plant', 'Magical Leaf', 'Natural Gift', 'Worry Seed', 'Poison Jab', 'Seed Bomb', 'Energy Ball', 'Earth Power', 'Giga Impact', 'Rock Climb', 'Leaf Storm', 'Power Whip', 'Captivate', 'Grass Knot', 'Venoshock', 'Acid Spray', 'Round', 'Echoed Voice', 'Grass Pledge', 'Bulldoze', 'Work Up', 'Petal Blizzard', 'Grassy Terrain', 'Confide', 'Stomping Tantrum', 'Grassy Glide', 'Terrain Pulse', 'Tera Blast', 'Trailblaze']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10033.png,Champions,True,,10033
Charizard,78,84,78,109,85,100,"['fire', 'flying']","['Mega Punch', 'Fire Punch', 'Thunder Punch', 'Scratch', 'Swords Dance', 'Cut', 'Wing Attack', 'Fly', 'Mega Kick', 'Headbutt', 'Body Slam', 'Take Down', 'Double Edge', 'Leer', 'Bite', 'Growl', 'Roar', 'Ember', 'Flamethrower', 'Hyper Beam', 'Submission', 'Counter', 'Seismic Toss', 'Strength', 'Solar Beam', 'Dragon Rage', 'Fire Spin', 'Earthquake', 'Fissure', 'Dig', 'Toxic', 'Rage', 'Mimic', 'Double Team', 'Smokescreen', 'Defense Curl', 'Reflect', 'Bide', 'Fire Blast', 'Swift', 'Skull Bash', 'Fury Swipes', 'Rest', 'Rock Slide', 'Slash', 'Substitute', 'Snore', 'Curse', 'Protect', 'Scary Face', 'Belly Drum', 'Mud Slap', 'Outrage', 'Sandstorm', 'Endure', 'False Swipe', 'Swagger', 'Fury Cutter', 'Steel Wing', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Dynamic Punch', 'Dragon Breath', 'Iron Tail', 'Metal Claw', 'Hidden Power', 'Twister', 'Sunny Day', 'Crunch', 'Ancient Power', 'Rock Smash', 'Beat Up', 'Heat Wave', 'Will O Wisp', 'Facade', 'Focus Punch', 'Helping Hand', 'Brick Break', 'Secret Power', 'Blaze Kick', 'Blast Burn', 'Weather Ball', 'Air Cutter', 'Overheat', 'Rock Tomb', 'Aerial Ace', 'Dragon Claw', 'Dragon Dance', 'Roost', 'Natural Gift', 'Tailwind', 'Fling', 'Flare Blitz', 'Air Slash', 'Dragon Pulse', 'Dragon Rush', 'Focus Blast', 'Giga Impact', 'Shadow Claw', 'Fire Fang', 'Defog', 'Captivate', 'Ominous Wind', 'Hone Claws', 'Flame Burst', 'Flame Charge', 'Round', 'Echoed Voice', 'Sky Drop', 'Incinerate', 'Acrobatics', 'Inferno', 'Fire Pledge', 'Bulldoze', 'Dragon Tail', 'Work Up', 'Heat Crash', 'Hurricane', 'Confide', 'Mystical Fire', 'Power Up Punch', 'Brutal Swing', 'Breaking Swipe', 'Scale Shot', 'Dual Wingbeat', 'Scorching Sands', 'Tera Blast', 'Dragon Cheer', 'Temper Flare']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,"Champions,Legends Z-A",False,,6
Mega Charizard,78,130,111,130,85,100,"['fire', 'dragon']","['Mega Punch', 'Fire Punch', 'Thunder Punch', 'Scratch', 'Swords Dance', 'Cut', 'Wing Attack', 'Fly', 'Mega Kick', 'Headbutt', 'Body Slam', 'Take Down', 'Double Edge', 'Leer', 'Bite', 'Growl', 'Roar', 'Ember', 'Flamethrower', 'Hyper Beam', 'Submission', 'Counter', 'Seismic Toss', 'Strength', 'Solar Beam', 'Dragon Rage', 'Fire Spin', 'Earthquake', 'Fissure', 'Dig', 'Toxic', 'Rage', 'Mimic', 'Double Team', 'Smokescreen', 'Defense Curl', 'Reflect', 'Bide', 'Fire Blast', 'Swift', 'Skull Bash', 'Fury Swipes', 'Rest', 'Rock Slide', 'Slash', 'Substitute', 'Snore', 'Curse', 'Protect', 'Scary Face', 'Belly Drum', 'Mud Slap', 'Outrage', 'Sandstorm', 'Endure', 'False Swipe', 'Swagger', 'Fury Cutter', 'Steel Wing', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Dynamic Punch', 'Dragon Breath', 'Iron Tail', 'Metal Claw', 'Hidden Power', 'Twister', 'Sunny Day', 'Crunch', 'Ancient Power', 'Rock Smash', 'Beat Up', 'Heat Wave', 'Will O Wisp', 'Facade', 'Focus Punch', 'Helping Hand', 'Brick Break', 'Secret Power', 'Blaze Kick', 'Blast Burn', 'Weather Ball', 'Air Cutter', 'Overheat', 'Rock Tomb', 'Aerial Ace', 'Dragon Claw', 'Dragon Dance', 'Roost', 'Natural Gift', 'Tailwind', 'Fling', 'Flare Blitz', 'Air Slash', 'Dragon Pulse', 'Dragon Rush', 'Focus Blast', 'Giga Impact', 'Shadow Claw', 'Fire Fang', 'Defog', 'Captivate', 'Ominous Wind', 'Hone Claws', 'Flame Burst', 'Flame Charge', 'Round', 'Echoed Voice', 'Sky Drop', 'Incinerate', 'Acrobatics', 'Inferno', 'Fire Pledge', 'Bulldoze', 'Dragon Tail', 'Work Up', 'Heat Crash', 'Hurricane', 'Confide', 'Mystical Fire', 'Power Up Punch', 'Brutal Swing', 'Breaking Swipe', 'Scale Shot', 'Dual Wingbeat', 'Scorching Sands', 'Tera Blast', 'Dragon Cheer', 'Temper Flare']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10034.png,Champions,True,,10034
Blastoise,79,83,100,85,105,78,['water'],"['Mega Punch', 'Ice Punch', 'Mega Kick', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Tail Whip', 'Bite', 'Roar', 'Mist', 'Water Gun', 'Hydro Pump', 'Surf', 'Ice Beam', 'Blizzard', 'Bubble Beam', 'Hyper Beam', 'Submission', 'Counter', 'Seismic Toss', 'Strength', 'Earthquake', 'Fissure', 'Dig', 'Toxic', 'Rage', 'Mimic', 'Double Team', 'Withdraw', 'Defense Curl', 'Haze', 'Reflect', 'Bide', 'Waterfall', 'Skull Bash', 'Bubble', 'Rest', 'Rock Slide', 'Substitute', 'Snore', 'Curse', 'Flail', 'Protect', 'Scary Face', 'Mud Slap', 'Icy Wind', 'Outrage', 'Endure', 'Rollout', 'False Swipe', 'Swagger', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Dynamic Punch', 'Rapid Spin', 'Iron Tail', 'Hidden Power', 'Rain Dance', 'Crunch', 'Mirror Coat', 'Rock Smash', 'Whirlpool', 'Fake Out', 'Hail', 'Facade', 'Focus Punch', 'Helping Hand', 'Brick Break', 'Yawn', 'Secret Power', 'Dive', 'Hydro Cannon', 'Weather Ball', 'Rock Tomb', 'Water Spout', 'Signal Beam', 'Muddy Water', 'Iron Defense', 'Mud Shot', 'Water Pulse', 'Gyro Ball', 'Brine', 'Natural Gift', 'Fling', 'Aqua Ring', 'Aura Sphere', 'Dark Pulse', 'Aqua Tail', 'Dragon Pulse', 'Focus Blast', 'Giga Impact', 'Avalanche', 'Zen Headbutt', 'Flash Cannon', 'Rock Climb', 'Captivate', 'Aqua Jet', 'Smack Down', 'Round', 'Scald', 'Shell Smash', 'Water Pledge', 'Bulldoze', 'Dragon Tail', 'Work Up', 'Confide', 'Power Up Punch', 'Liquidation', 'Body Press', 'Life Dew', 'Terrain Pulse', 'Flip Turn', 'Wave Crash', 'Tera Blast', 'Ice Spinner', 'Chilling Water']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,"Champions,Legends Z-A",False,,9
Mega Blastoise,79,103,120,135,115,78,['water'],"['Mega Punch', 'Ice Punch', 'Mega Kick', 'Headbutt', 'Tackle', 'Body Slam', 'Take Down', 'Double Edge', 'Tail Whip', 'Bite', 'Roar', 'Mist', 'Water Gun', 'Hydro Pump', 'Surf', 'Ice Beam', 'Blizzard', 'Bubble Beam', 'Hyper Beam', 'Submission', 'Counter', 'Seismic Toss', 'Strength', 'Earthquake', 'Fissure', 'Dig', 'Toxic', 'Rage', 'Mimic', 'Double Team', 'Withdraw', 'Defense Curl', 'Haze', 'Reflect', 'Bide', 'Waterfall', 'Skull Bash', 'Bubble', 'Rest', 'Rock Slide', 'Substitute', 'Snore', 'Curse', 'Flail', 'Protect', 'Scary Face', 'Mud Slap', 'Icy Wind', 'Outrage', 'Endure', 'Rollout', 'False Swipe', 'Swagger', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Dynamic Punch', 'Rapid Spin', 'Iron Tail', 'Hidden Power', 'Rain Dance', 'Crunch', 'Mirror Coat', 'Rock Smash', 'Whirlpool', 'Fake Out', 'Hail', 'Facade', 'Focus Punch', 'Helping Hand', 'Brick Break', 'Yawn', 'Secret Power', 'Dive', 'Hydro Cannon', 'Weather Ball', 'Rock Tomb', 'Water Spout', 'Signal Beam', 'Muddy Water', 'Iron Defense', 'Mud Shot', 'Water Pulse', 'Gyro Ball', 'Brine', 'Natural Gift', 'Fling', 'Aqua Ring', 'Aura Sphere', 'Dark Pulse', 'Aqua Tail', 'Dragon Pulse', 'Focus Blast', 'Giga Impact', 'Avalanche', 'Zen Headbutt', 'Flash Cannon', 'Rock Climb', 'Captivate', 'Aqua Jet', 'Smack Down', 'Round', 'Scald', 'Shell Smash', 'Water Pledge', 'Bulldoze', 'Dragon Tail', 'Work Up', 'Confide', 'Power Up Punch', 'Liquidation', 'Body Press', 'Life Dew', 'Terrain Pulse', 'Flip Turn', 'Wave Crash', 'Tera Blast', 'Ice Spinner', 'Chilling Water']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10036.png,Champions,True,,10036
Beedrill,65,90,40,45,80,75,"['bug', 'poison']","['Swords Dance', 'Cut', 'Headbutt', 'Fury Attack', 'Take Down', 'Double Edge', 'Poison Sting', 'Twineedle', 'Pin Missile', 'Hyper Beam', 'Peck', 'Mega Drain', 'Solar Beam', 'String Shot', 'Toxic', 'Agility', 'Rage', 'Mimic', 'Double Team', 'Harden', 'Reflect', 'Focus Energy', 'Bide', 'Swift', 'Skull Bash', 'Flash', 'Rest', 'Substitute', 'Thief', 'Snore', 'Curse', 'Protect', 'Sludge Bomb', 'Outrage', 'Giga Drain', 'Endure', 'False Swipe', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Baton Pass', 'Pursuit', 'Sweet Scent', 'Hidden Power', 'Sunny Day', 'Rock Smash', 'Facade', 'Brick Break', 'Knock Off', 'Endeavor', 'Secret Power', 'Air Cutter', 'Silver Wind', 'Aerial Ace', 'Roost', 'Natural Gift', 'Tailwind', 'U Turn', 'Payback', 'Assurance', 'Toxic Spikes', 'Poison Jab', 'X Scissor', 'Giga Impact', 'Defog', 'Captivate', 'Bug Bite', 'Ominous Wind', 'Venoshock', 'Round', 'Acrobatics', 'Struggle Bug', 'Electroweb', 'Drill Run', 'Fell Stinger', 'Confide', 'Infestation', 'Laser Focus', 'Throat Chop', 'Brutal Swing']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,"Champions,Legends Z-A",False,,15
Mega Beedrill,65,150,40,15,80,145,"['bug', 'poison']","['Swords Dance', 'Cut', 'Headbutt', 'Fury Attack', 'Take Down', 'Double Edge', 'Poison Sting', 'Twineedle', 'Pin Missile', 'Hyper Beam', 'Peck', 'Mega Drain', 'Solar Beam', 'String Shot', 'Toxic', 'Agility', 'Rage', 'Mimic', 'Double Team', 'Harden', 'Reflect', 'Focus Energy', 'Bide', 'Swift', 'Skull Bash', 'Flash', 'Rest', 'Substitute', 'Thief', 'Snore', 'Curse', 'Protect', 'Sludge Bomb', 'Outrage', 'Giga Drain', 'Endure', 'False Swipe', 'Swagger', 'Fury Cutter', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Baton Pass', 'Pursuit', 'Sweet Scent', 'Hidden Power', 'Sunny Day', 'Rock Smash', 'Facade', 'Brick Break', 'Knock Off', 'Endeavor', 'Secret Power', 'Air Cutter', 'Silver Wind', 'Aerial Ace', 'Roost', 'Natural Gift', 'Tailwind', 'U Turn', 'Payback', 'Assurance', 'Toxic Spikes', 'Poison Jab', 'X Scissor', 'Giga Impact', 'Defog', 'Captivate', 'Bug Bite', 'Ominous Wind', 'Venoshock', 'Round', 'Acrobatics', 'Struggle Bug', 'Electroweb', 'Drill Run', 'Fell Stinger', 'Confide', 'Infestation', 'Laser Focus', 'Throat Chop', 'Brutal Swing']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10090.png,Champions,True,,10090
Pidgeot,83,80,75,70,70,101,"['normal', 'flying']","['Razor Wind', 'Gust', 'Wing Attack', 'Whirlwind', 'Fly', 'Sand Attack', 'Headbutt', 'Tackle', 'Take Down', 'Double Edge', 'Hyper Beam', 'Toxic', 'Agility', 'Quick Attack', 'Rage', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Mirror Move', 'Swift', 'Sky Attack', 'Rest', 'Substitute', 'Thief', 'Snore', 'Curse', 'Protect', 'Mud Slap', 'Detect', 'Endure', 'Swagger', 'Steel Wing', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Hidden Power', 'Twister', 'Rain Dance', 'Sunny Day', 'Uproar', 'Heat Wave', 'Facade', 'Secret Power', 'Feather Dance', 'Air Cutter', 'Aerial Ace', 'Roost', 'Natural Gift', 'Pluck', 'Tailwind', 'U Turn', 'Air Slash', 'Giga Impact', 'Defog', 'Captivate', 'Ominous Wind', 'Round', 'Work Up', 'Hurricane', 'Confide', 'Laser Focus']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,"Champions,Legends Z-A",False,,18
Mega Pidgeot,83,80,80,135,80,121,"['normal', 'flying']","['Razor Wind', 'Gust', 'Wing Attack', 'Whirlwind', 'Fly', 'Sand Attack', 'Headbutt', 'Tackle', 'Take Down', 'Double Edge', 'Hyper Beam', 'Toxic', 'Agility', 'Quick Attack', 'Rage', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Mirror Move', 'Swift', 'Sky Attack', 'Rest', 'Substitute', 'Thief', 'Snore', 'Curse', 'Protect', 'Mud Slap', 'Detect', 'Endure', 'Swagger', 'Steel Wing', 'Attract', 'Sleep Talk', 'Return', 'Frustration', 'Hidden Power', 'Twister', 'Rain Dance', 'Sunny Day', 'Uproar', 'Heat Wave', 'Facade', 'Secret Power', 'Feather Dance', 'Air Cutter', 'Aerial Ace', 'Roost', 'Natural Gift', 'Pluck', 'Tailwind', 'U Turn', 'Air Slash', 'Giga Impact', 'Defog', 'Captivate', 'Ominous Wind', 'Round', 'Work Up', 'Hurricane', 'Confide', 'Laser Focus']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10073.png,Champions,True,,10073
